Starting_word, Answer : WordleBot, Precompute Entropy

Results for Starting Word: crane
crane, audio : 4, 3
crane, amply : 4, 3
crane, flame : 6, 4
crane, clack : 6, 3
crane, petty : 5, 4
crane, delta : 5, 3
crane, witty : 7, 3
crane, flank : 6, 3
crane, float : 7, 5
crane, savvy : 6, 4
crane, sugar : 4, 3
crane, paler : 4, 3
crane, wrung : 5, 3
crane, bossy : 5, 4
crane, crept : 3, 3
crane, synod : 4, 4
crane, bluer : 6, 4
crane, metro : 4, 3
crane, octet : 5, 4
crane, brake : 7, 4
crane, hotly : 4, 3
crane, creed : 5, 2
crane, flash : 5, 3
crane, wrist : 3, 4
crane, drawn : 3, 3
crane, atoll : 5, 4
crane, debar : 5, 4
crane, teach : 2, 2
crane, utile : 3, 3
crane, mouse : 5, 3
crane, fiery : 5, 3
crane, grail : 3, 4
crane, rider : 6, 4
crane, grown : 4, 2
crane, unfit : 4, 3
crane, whiny : 6, 4
crane, loath : 3, 3
crane, spiel : 3, 3
crane, paper : 5, 3
crane, rabbi : 6, 4
crane, still : 5, 3
crane, nurse : 4, 3
crane, organ : 4, 2
crane, wench : 3, 2
crane, acorn : 2, 2
crane, dunce : 5, 3
crane, tipsy : 3, 3
crane, daisy : 3, 3
crane, biome : 5, 4
crane, utter : 7, 4
crane, overt : 5, 3
crane, plumb : 5, 3
crane, scoop : 5, 5
crane, seven : 5, 3
crane, skulk : 6, 4
crane, harsh : 5, 4
crane, maple : 4, 3
crane, noose : 3, 3
crane, goofy : 6, 4
crane, album : 5, 4
crane, lynch : 5, 4
crane, bulky : 5, 4
crane, dolly : 6, 4
crane, pupil : 5, 3
crane, coven : 2, 2
crane, mince : 3, 3
crane, jiffy : 6, 4
crane, agora : 6, 4
crane, munch : 5, 3
crane, forge : 6, 3
crane, clash : 5, 3
crane, broom : 7, 5
crane, easel : 3, 4
crane, banal : 5, 3
crane, minty : 5, 3
crane, cried : 5, 3
crane, feast : 5, 4
crane, chirp : 4, 3
crane, eagle : 5, 4
crane, vinyl : 5, 3
crane, guppy : 5, 3
crane, stall : 5, 3
crane, toddy : 5, 4
crane, dirty : 4, 4
crane, plump : 5, 4
